,id,album_id,album_name,duration_ms,popularity,track_name,artists,msPlayed,endTime,release_date,genres
0,025aQi6Ffw676y8m4zLPk7,30HSC1ogeWpwBZXroMTTDW,To the Rain,145620,59,To the Rain,['Anna Landström'],141966,2023-01-05 16:22,2022-05-20,[]
1,5eMUmyDeH1aayf1uZ0Wrga,2EqOuPPTOth7VS70I1kvta,Reflect the Day,65142,48,Autumn Nights,"['Slowberry', 'Fuzzy & Glad', 'blushful']",172896,2023-01-05 16:25,2020-10-05,[]
2,7EL9YtzL4qYOcxYlf4mbVi,2zXp7huP6HGVldywEC6arL,Yours to Break,211826,52,Wintergreen,['The East Pointers'],180531,2023-01-05 16:28,2019-10-25,[]
3,2HwCcCi8Up9NECNBRt0yTV,1Vhx6ow2PDJROoX3ND5dEy,Hideaway,148906,63,Hideaway,['Igulfrid'],146806,2023-01-05 16:30,2022-04-15,[]
4,763DOeT2XIrzMjbC3LLF5i,4TVVWsBh3tY8GXupSSoCc4,Lydian Fairytale,105786,67,Lydian Fairytale,['Nascondiglio'],116950,2023-01-05 16:32,2022-12-30,[]
5,2BHj31ufdEqVK5CkYDp9mA,1ANaxJNBcbOvvycNL4MCL5,Miki Matsubara Best Collection,312293,77,Mayonaka no Door / Stay With Me,['Miki Matsubara'],76937,2023-01-05 16:33,2008,[]
6,2kEk2uIKtoJD5r65cH7XBP,4YPmrvr0GCO4errUctduu7,Contemplate,173219,65,Silk,['Sleepwear'],148835,2023-01-05 16:36,2022-02-07,[]
7,3iyH2B4dcjufYE0ZjiUZsC,4UGoF6BHCz2xclaI3J74Zf,Ex Nihilo Nihil Fit,155374,38,Ex Nihilo Nihil Fit,['Elder Lockhart'],140151,2023-01-05 16:38,2020-03-27,[]
8,0acEauszFAvCGw9cNF0kZM,33iYingDDSa1X0iPiotQT8,Frozen Lakes,166890,53,Frozen Lakes,['Imber Sun'],117443,2023-01-05 16:40,2022-12-02,[]
9,4FhxN8PTyjkBVfwlCnr9Om,6i7mF7whyRJuLJ4ogbH2wh,One Thing At A Time,162475,75,Days That End In Why,['Morgan Wallen'],135859,2023-01-05 16:42,2023-03-03,[]
10,2aLgFG14lYLiV8YYziZI7Q,1l3v5h34S4SMNKFblH6pkr,Letting Go,181792,58,Letting Go,['Ron Adelaar'],77309,2023-01-05 17:58,2022-05-06,[]
